,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
2358,,,0.002,42.0,mnist_6_100.onnx,unsat/sat,1.3762357234954834,42.0,42.0,abcrown,42.0 mnist_6_100.onnx 0.002,1,1,True
2329,,,0.002,41.0,rsl18a_linf01.onnx,unsat,0.265,141.0,,eran,41.0 rsl18a_linf01.onnx 0.002,1,1,True
2330,,MNIST,0.002,41.0,rsl18a_linf01.onnx,unsat,0.11993408203125,713.0,41.0,bab,41.0 rsl18a_linf01.onnx 0.002,1,1,True
2337,,MNIST,0.002,42.0,fc2.onnx,sat,0.0533044338226318,719.0,42.0,bab,42.0 fc2.onnx 0.002,1,1,True
2338,,,0.002,42.0,fc2.onnx,unsat,0.011,342.0,,eran,42.0 fc2.onnx 0.002,1,1,True
5320,,MNIST,0.002,85.0,mnist_6_100.onnx,unsat,0.1339116096496582,1457.0,85.0,bab,85.0 mnist_6_100.onnx 0.002,1,1,True
2346,,MNIST,0.002,42.0,mnist_3_100.onnx,unsat,0.1045637130737304,722.0,42.0,bab,42.0 mnist_3_100.onnx 0.002,1,1,True
5319,,,0.002,85.0,mnist_6_100.onnx,unsat/sat,1.3307902812957764,85.0,85.0,abcrown,85.0 mnist_6_100.onnx 0.002,1,1,True
4018,,MNIST,0.002,66.0,mnist_net_256x2.onnx,unsat,0.1866028308868408,1125.0,66.0,bab,66.0 mnist_net_256x2.onnx 0.002,1,1,True
2349,,MNIST,0.002,42.0,mnist_3_50.onnx,unsat,0.0892033576965332,723.0,42.0,bab,42.0 mnist_3_50.onnx 0.002,1,1,True
4017,,,0.002,66.0,mnist_net_256x2.onnx,unsat,0.032,766.0,,eran,66.0 mnist_net_256x2.onnx 0.002,1,1,True
5316,,MNIST,0.002,85.0,mnist_5_100.onnx,unsat,0.1509861946105957,1456.0,85.0,bab,85.0 mnist_5_100.onnx 0.002,1,1,True
2352,,MNIST,0.002,42.0,mnist_4_1024.onnx,unsat,0.5237348079681396,724.0,42.0,bab,42.0 mnist_4_1024.onnx 0.002,1,1,True
5315,,MNIST,0.002,85.0,mnist_4_1024.onnx,unsat,0.5232024192810059,1455.0,85.0,bab,85.0 mnist_4_1024.onnx 0.002,1,1,True
4016,,,0.002,66.0,mnist_net.onnx,unsat,0.073,66.0,,eran,66.0 mnist_net.onnx 0.002,1,1,True
2355,,MNIST,0.002,42.0,mnist_5_100.onnx,unsat,0.1462264060974121,725.0,42.0,bab,42.0 mnist_5_100.onnx 0.002,1,1,True
4015,,MNIST,0.002,66.0,mnist_net.onnx,unsat,0.1726789474487304,1123.0,66.0,bab,66.0 mnist_net.onnx 0.002,1,1,True
4616,,MNIST,0.002,75.0,mnist_3_100.onnx,unsat,0.0951380729675293,1283.0,75.0,bab,75.0 mnist_3_100.onnx 0.002,1,1,True
2386,,MNIST,0.002,42.0,mnist_net_256x6.onnx,unsat,0.2015721797943115,720.0,42.0,bab,42.0 mnist_net_256x6.onnx 0.002,1,1,True
2387,,,0.002,42.0,mnist_net_256x6.onnx,unsat,0.39,242.0,,eran,42.0 mnist_net_256x6.onnx 0.002,1,1,True
2388,,,0.002,42.0,mnist_nn.onnx,unsat,0.356,842.0,,eran,42.0 mnist_nn.onnx 0.002,1,1,True
4618,,MNIST,0.002,75.0,mnist_3_50.onnx,unsat,0.0846590995788574,1284.0,75.0,bab,75.0 mnist_3_50.onnx 0.002,1,1,True
2423,,,0.002,43.0,mnist_6_100.onnx,unsat/sat,1.320866584777832,43.0,43.0,abcrown,43.0 mnist_6_100.onnx 0.002,1,1,True
2424,,,0.002,43.0,mnist_6_200.onnx,unsat/sat,1.3767321109771729,143.0,143.0,abcrown,43.0 mnist_6_200.onnx 0.002,1,1,True
5279,,MNIST,0.002,84.0,mnist_net_256x2.onnx,unsat,0.1174705028533935,1431.0,84.0,bab,84.0 mnist_net_256x2.onnx 0.002,1,1,True
2426,,MNIST,0.002,43.0,mnist_6_200.onnx,unsat,0.1967794895172119,744.0,43.0,bab,43.0 mnist_6_200.onnx 0.002,1,1,True
2427,,,0.002,43.0,mnist_9_100.onnx,unsat/sat,2.144801616668701,243.0,243.0,abcrown,43.0 mnist_9_100.onnx 0.002,1,1,True
2428,,MNIST,0.002,43.0,mnist_9_100.onnx,unsat,0.1798555850982666,745.0,43.0,bab,43.0 mnist_9_100.onnx 0.002,1,1,True
3999,,,0.002,66.0,mnist_6_200.onnx,unsat/sat,1.3809516429901123,166.0,166.0,abcrown,66.0 mnist_6_200.onnx 0.002,1,1,True
2430,,,0.002,43.0,mnist_9_200.onnx,unsat/sat,1.9255120754241943,343.0,343.0,abcrown,43.0 mnist_9_200.onnx 0.002,1,1,True
2431,,MNIST,0.002,43.0,mnist_9_200.onnx,unsat,0.2360143661499023,746.0,43.0,bab,43.0 mnist_9_200.onnx 0.002,1,1,True
5277,,,0.002,84.0,mnist_net_256x2.onnx,unsat,0.044,784.0,,eran,84.0 mnist_net_256x2.onnx 0.002,1,1,True
2439,,,0.002,43.0,mnist_net.onnx,unsat,0.104,43.0,,eran,43.0 mnist_net.onnx 0.002,1,1,True
5276,,,0.002,84.0,mnist_net.onnx,unsat,0.088,84.0,,eran,84.0 mnist_net.onnx 0.002,1,1,True
2441,,MNIST,0.002,43.0,mnist_net.onnx,unsat,0.1746001243591308,732.0,43.0,bab,43.0 mnist_net.onnx 0.002,1,1,True
3998,,MNIST,0.002,66.0,mnist_6_100.onnx,unsat,0.1233997344970703,1134.0,66.0,bab,66.0 mnist_6_100.onnx 0.002,1,1,True
2443,,MNIST,0.002,43.0,mnist_net_256x2.onnx,unsat,0.1343212127685547,734.0,43.0,bab,43.0 mnist_net_256x2.onnx 0.002,1,1,True
2444,,,0.002,43.0,mnist_net_256x2.onnx,unsat,0.046,743.0,,eran,43.0 mnist_net_256x2.onnx 0.002,1,1,True
2445,,,0.002,43.0,mnist_net_256x4.onnx,unsat,0.222,543.0,,eran,43.0 mnist_net_256x4.onnx 0.002,1,1,True
2422,,MNIST,0.002,43.0,mnist_6_100.onnx,unsat,0.1502344608306884,743.0,43.0,bab,43.0 mnist_6_100.onnx 0.002,1,1,True
4000,,MNIST,0.002,66.0,mnist_6_200.onnx,unsat,0.2201418876647948,1135.0,66.0,bab,66.0 mnist_6_200.onnx 0.002,1,1,True
5281,,MNIST,0.002,84.0,mnist_net_256x4.onnx,unsat,0.158409833908081,1432.0,84.0,bab,84.0 mnist_net_256x4.onnx 0.002,1,1,True
2409,,MNIST,0.002,43.0,mnist_3_100.onnx,unsat,0.1528511047363281,739.0,43.0,bab,43.0 mnist_3_100.onnx 0.002,1,1,True
2390,,MNIST,0.002,42.0,mnist_nn.onnx,unsat,0.2315058708190918,721.0,42.0,bab,42.0 mnist_nn.onnx 0.002,1,1,True
2391,,MNIST,0.002,42.0,rsl18a_linf01.onnx,unsat,0.1153242588043212,730.0,42.0,bab,42.0 rsl18a_linf01.onnx 0.002,1,1,True
2392,,,0.002,42.0,rsl18a_linf01.onnx,unsat,0.223,142.0,,eran,42.0 rsl18a_linf01.onnx 0.002,1,1,True
5290,,MNIST,0.002,84.0,rsl18a_linf01.onnx,unsat,0.1331458091735839,1444.0,84.0,bab,84.0 rsl18a_linf01.onnx 0.002,1,1,True
5289,,,0.002,84.0,rsl18a_linf01.onnx,unsat,0.356,184.0,,eran,84.0 rsl18a_linf01.onnx 0.002,1,1,True
2401,,MNIST,0.002,43.0,fc2.onnx,sat,0.0589699745178222,736.0,43.0,bab,43.0 fc2.onnx 0.002,1,1,True
2402,,,0.002,43.0,fc2.onnx,unsat,0.008,343.0,,eran,43.0 fc2.onnx 0.002,1,1,True
4002,,,0.002,66.0,mnist_9_100.onnx,unsat/sat,1.870086669921875,266.0,266.0,abcrown,66.0 mnist_9_100.onnx 0.002,1,1,True
2419,,MNIST,0.002,43.0,mnist_5_100.onnx,unsat,0.1224162578582763,742.0,43.0,bab,43.0 mnist_5_100.onnx 0.002,1,1,True
5287,,,0.002,84.0,mnist_nn.onnx,unsat,0.441,884.0,,eran,84.0 mnist_nn.onnx 0.002,1,1,True
2412,,MNIST,0.002,43.0,mnist_3_50.onnx,unsat,0.0907778739929199,740.0,43.0,bab,43.0 mnist_3_50.onnx 0.002,1,1,True
5286,,MNIST,0.002,84.0,mnist_nn.onnx,unsat,0.1246135234832763,1435.0,84.0,bab,84.0 mnist_nn.onnx 0.002,1,1,True
2415,,MNIST,0.002,43.0,mnist_4_1024.onnx,unsat,0.5208866596221924,741.0,43.0,bab,43.0 mnist_4_1024.onnx 0.002,1,1,True
5284,,,0.002,84.0,mnist_net_256x6.onnx,unsat,0.377,284.0,,eran,84.0 mnist_net_256x6.onnx 0.002,1,1,True
5283,,MNIST,0.002,84.0,mnist_net_256x6.onnx,unsat,0.1958301067352295,1434.0,84.0,bab,84.0 mnist_net_256x6.onnx 0.002,1,1,True
5282,,,0.002,84.0,mnist_net_256x4.onnx,unsat,0.167,584.0,,eran,84.0 mnist_net_256x4.onnx 0.002,1,1,True
2570,,,0.002,45.0,mnist_net_256x2.onnx,unsat,0.053,745.0,,eran,45.0 mnist_net_256x2.onnx 0.002,1,1,True
2571,,,0.002,45.0,mnist_net_256x4.onnx,unsat,0.205,545.0,,eran,45.0 mnist_net_256x4.onnx 0.002,1,1,True
2572,,MNIST,0.002,45.0,mnist_net_256x4.onnx,unsat,0.1661076545715332,769.0,45.0,bab,45.0 mnist_net_256x4.onnx 0.002,1,1,True
5157,,MNIST,0.002,82.0,mnist_net_256x6.onnx,unsat,0.2139182090759277,1400.0,82.0,bab,82.0 mnist_net_256x6.onnx 0.002,1,1,True
5155,,MNIST,0.002,82.0,mnist_net_256x4.onnx,unsat,0.1887249946594238,1398.0,82.0,bab,82.0 mnist_net_256x4.onnx 0.002,1,1,True
3944,,,0.002,65.0,mnist_9_200.onnx,unsat/sat,1.9421231746673584,365.0,365.0,abcrown,65.0 mnist_9_200.onnx 0.002,1,1,True
2729,,MNIST,0.002,48.0,mnist_3_50.onnx,unsat,0.0966739654541015,825.0,48.0,bab,48.0 mnist_3_50.onnx 0.002,1,1,True
5153,,MNIST,0.002,82.0,mnist_net_256x2.onnx,unsat,0.14658784866333,1397.0,82.0,bab,82.0 mnist_net_256x2.onnx 0.002,1,1,True
3943,,MNIST,0.002,65.0,mnist_9_200.onnx,unsat,0.3208518028259277,1120.0,65.0,bab,65.0 mnist_9_200.onnx 0.002,1,1,True
2732,,MNIST,0.002,48.0,mnist_4_1024.onnx,unsat,0.5206594467163086,826.0,48.0,bab,48.0 mnist_4_1024.onnx 0.002,1,1,True
5151,,,0.002,82.0,mnist_net_256x2.onnx,unsat,0.036,782.0,,eran,82.0 mnist_net_256x2.onnx 0.002,1,1,True
5150,,MNIST,0.002,82.0,mnist_net.onnx,unsat,0.1653528213500976,1395.0,82.0,bab,82.0 mnist_net.onnx 0.002,1,1,True
2735,,MNIST,0.002,48.0,mnist_5_100.onnx,unsat,0.1351003646850586,827.0,48.0,bab,48.0 mnist_5_100.onnx 0.002,1,1,True
2736,,,0.002,48.0,mnist_6_100.onnx,unsat/sat,1.392509698867798,48.0,48.0,abcrown,48.0 mnist_6_100.onnx 0.002,1,1,True
