,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
5629,,mnist,0.02,N14,MNIST_P94_N14,outofmemory,3600.0,1229.0,marabou,MNIST_P94_N14 N14 0.02,False,0,0
5630,,mnist,0.02,N14,MNIST_P30_N14,outofmemory,3600.0,1230.0,marabou,MNIST_P30_N14 N14 0.02,False,0,0
5641,,mnist,0.02,N48,MNIST_P33_N48,outofmemory,3600.0,1241.0,marabou,MNIST_P33_N48 N48 0.02,False,0,0
5646,,mnist,0.02,N5,MNIST_P72_N5,timeout,3600.0,1246.0,marabou,MNIST_P72_N5 N5 0.02,False,0,0
5803,,mnist,0.02,N15,MNIST_P93_N15,timeout,3600.0,1403.0,marabou,MNIST_P93_N15 N15 0.02,False,0,0
5802,,mnist,0.02,N48,MNIST_P82_N48,outofmemory,3600.0,1402.0,marabou,MNIST_P82_N48 N48 0.02,False,0,0
5790,,mnist,0.02,N14,MNIST_P17_N14,outofmemory,3600.0,1390.0,marabou,MNIST_P17_N14 N14 0.02,False,0,0
5778,,mnist,0.02,N15,MNIST_P78_N15,timeout,3600.0,1378.0,marabou,MNIST_P78_N15 N15 0.02,False,0,0
5774,,mnist,0.02,N5,MNIST_P81_N5,timeout,3600.0,1374.0,marabou,MNIST_P81_N5 N5 0.02,False,0,0
5767,,mnist,0.02,N49,MNIST_P49_N49,outofmemory,3600.0,1367.0,marabou,MNIST_P49_N49 N49 0.02,False,0,0
5765,,mnist,0.02,N48,MNIST_P58_N48,outofmemory,3600.0,1365.0,marabou,MNIST_P58_N48 N48 0.02,False,0,0
5757,,mnist,0.02,N48,MNIST_P85_N48,outofmemory,3600.0,1357.0,marabou,MNIST_P85_N48 N48 0.02,False,0,0
5745,,mnist,0.02,N48,MNIST_P98_N48,outofmemory,3600.0,1345.0,marabou,MNIST_P98_N48 N48 0.02,False,0,0
5736,,mnist,0.02,N49,MNIST_P10_N49,outofmemory,3600.0,1336.0,marabou,MNIST_P10_N49 N49 0.02,False,0,0
5726,,mnist,0.02,N5,MNIST_P74_N5,timeout,3600.0,1326.0,marabou,MNIST_P74_N5 N5 0.02,False,0,0
5722,,mnist,0.02,N18,MNIST_P89_N18,timeout,3600.0,1322.0,marabou,MNIST_P89_N18 N18 0.02,False,0,0
